Country,HEPB
Afghanistan,66
Albania,99
Algeria,91
Andorra,98
Angola,53
Antigua and Barbuda,99
Argentina,86
Armenia,92
Australia,95
Austria,85
Azerbaijan,94
Bahamas,86
Bahrain,99
Bangladesh,98
Barbados,90
Belarus,97
Belgium,97
Belize,98
Benin,76
Bhutan,97
Bolivia (Plurinational State of),75
Bosnia and Herzegovina,80
Botswana,95
Brazil,80
Brunei Darussalam,99
Bulgaria,85
Burkina Faso,91
Burundi,93
Cabo Verde,97
Cambodia,92
Cameroon,67
Canada,74
Central African Republic,47
Chad,50
Chile,96
China,99
Colombia,92
Comoros,91
Congo,79
Cook Islands,98
Costa Rica,98
C̫te d'Ivoire,84
Croatia,93
Cuba,99
Cyprus,94
Czechia,97
Democratic People's Republic of Korea,97
Democratic Republic of the Congo,57
Djibouti,85
Dominica,99
Dominican Republic,87
Ecuador,85
Egypt,95
El Salvador,81
Equatorial Guinea,53
Eritrea,95
Estonia,91
Eswatini,90
Ethiopia,68
Fiji,99
France,91
Gabon,70
Gambia,88
Georgia,94
Germany,87
Ghana,97
Greece,96
Grenada,94
Guatemala,86
Guinea,47
Guinea-Bissau,84
Guyana,99
Haiti,51
Honduras,87
India,91
Indonesia,85
Iran (Islamic Republic of),99
Iraq,84
Ireland,93
Israel,96
Italy,95
Jamaica,96
Japan,99
Jordan,89
Kazakhstan,97
Kenya,92
Kiribati,94
Kuwait,91
Kyrgyzstan,95
Lao People's Democratic Republic,68
Latvia,99
Lebanon,80
Lesotho,87
Liberia,74
Libya,73
Lithuania,92
Luxembourg,96
Madagascar,79
Malawi,95
Malaysia,97
Maldives,99
Mali,77
Malta,98
Marshall Islands,82
Mauritania,81
Mauritius,97
Mexico,56
Micronesia (Federated States of),84
Monaco,99
Mongolia,98
Montenegro,72
Morocco,99
Mozambique,88
Myanmar,90
Namibia,87
Nauru,96
Nepal,93
Netherlands,92
New Zealand,92
Nicaragua,98
Niger,81
Nigeria,57
Niue,99
Norway,96
Oman,99
Pakistan,75
Palau,98
Panama,88
Papua New Guinea,35
Paraguay,86
Peru,88
Philippines,65
Poland,91
Portugal,98
Qatar,98
Republic of Korea,98
Republic of Moldova,94
North Macedonia,92
Romania,90
Russian Federation,97
Rwanda,98
Saint Kitts and Nevis,97
Saint Lucia,92
Saint Vincent and the Grenadines,97
Samoa,58
San Marino,87
Sao Tome and Principe,95
Saudi Arabia,97
Senegal,93
Serbia,94
Seychelles,99
Sierra Leone,95
Singapore,96
Slovakia,97
Solomon Islands,94
Somalia,42
South Africa,77
South Sudan,49
Spain,96
Sri Lanka,99
Sudan,93
Suriname,77
Sweden,97
Switzerland,69
Syrian Arab Republic,54
Tajikistan,97
Thailand,97
Timor-Leste,83
Togo,84
Tonga,99
Trinidad and Tobago,93
Tunisia,92
Turkey,99
Turkmenistan,99
Tuvalu,92
Uganda,93
Ukraine,76
United Arab Emirates,98
United Kingdom of Great Britain and Northern Ireland,93
United Republic of Tanzania,89
United States of America,91
Uruguay,94
Uzbekistan,96
Vanuatu,90
Venezuela (Bolivarian Republic of),64
Viet Nam,89
Yemen,73
Zambia,88
Zimbabwe,90
